date,top_event,most_exposed_ticker,bull_driver,bear_driver
2026-08-23,"NVDA earnings (Aug 26) into Jackson Hole (Aug 27-29) and AVGO earnings (Sep 2)",QQQ,"AI-capex beat + dovish Fed tone at Jackson Hole","AI-capex miss + hawkish Fed tone at Jackson Hole"
2026-08-24,"Iran sanctions/tariff headline into NVDA (Aug 26), Jackson Hole (Aug 27-29), AVGO (Sep 2)",QQQ,"AI-capex beat + dovish Fed tone","AI-capex miss + hawkish Fed tone + tariff escalation"
2026-08-25,"NVDA (Aug 26) into Jackson Hole (Aug 27-29), AVGO (Sep 2), payrolls (Sep 4)",QQQ,"AI-capex beat + dovish Fed tone","AI-capex miss + hawkish Fed tone + weak payrolls"
2026-08-26,"NVDA earnings tonight into Warsh Jackson Hole keynote (Aug 28), AVGO (Sep 2), payrolls (Sep 4)",QQQ,"AI-capex beat + dovish Fed surprise","AI-capex miss + hawkish Fed surprise"
2026-08-27,"NVDA beat (resolved) into Warsh Jackson Hole keynote (Aug 28), AVGO (Sep 2), payrolls (Sep 4)",QQQ,"NVDA capex guidance holds + dovish Warsh","Sell-the-news reversal + hawkish Warsh"
2026-08-28,"Warsh Jackson Hole keynote (10am ET today) after hot GDP/PCE print, into AVGO (Sep 2) and payrolls (Sep 4)",TLT,"Warsh signals tightening is sufficient / opens door to cuts","Warsh flags persistent inflation, leaves hike on table"
2026-08-29,"Warsh hawkish keynote resolved (57% Sept hike odds) into ISM PMI (Sep 1), AVGO (Sep 2), payrolls (Sep 4)",TLT,"Soft payrolls gives Fed cover to hold","Strong payrolls/wages reinforces Sept hike case"
2026-08-30,"Weekend: hike bets building post-Warsh into ISM PMI (Sep 1), AVGO (Sep 2), payrolls (Sep 4)",TLT,"Soft payrolls gives Fed cover to hold","Strong payrolls/wages reinforces Sept hike case"
2026-08-31,"US-Iran Strait of Hormuz escalation + hawkish Fed into ISM PMI (Sep 1), AVGO (Sep 2), payrolls (Sep 4)",XLE,"De-escalation + soft payrolls","Further Hormuz escalation + strong payrolls reinforce hike case"
2026-09-01,"Iran-UAE/Jordan escalation + ISM PMI today into AVGO (Sep 2), payrolls (Sep 4)",XLE,"De-escalation + soft payrolls","Further Hormuz escalation + strong payrolls reinforce hike case"
2026-09-02,"Weak ADP + oil shock (WTI ~91) into AVGO tonight, official payrolls (Sep 4)",AVGO,"AVGO beat + soft payrolls confirms Fed can hold","Oil shock worsens + hot payrolls revives Sept hike case"
2026-09-03,"AVGO beat-but-guide-light (-3.5%) + widening Iran conflict into payrolls (Sep 4), CPI (Sep 11)",XLE,"Trump short-lived framing holds + soft payrolls/CPI","Open-ended Iran war + hot payrolls/CPI locks in Sept hike"
2026-09-04,"Hot payrolls (+162K vs 53K est) + widening Iran/Kuwait conflict into CPI (Sep 11), FOMC (Sep 15-16)",TLT,"Cool CPI keeps a hold in play","Hot CPI + persistent oil shock locks in Sept hike"
2026-09-05,"Iran conflict escalating (oil +9% weekly) + hot payrolls into CPI (Sep 11), FOMC (Sep 15-16)",XLE,"De-escalation + cool CPI keeps hold in play","Further US-Iran escalation + hot CPI locks in Sept hike"
